gene_id	go_id	Evidence	Ontology
CALMACT00000002959	GO:0030170	IEA	MF
CALMACT00000022152	GO:0004672	IEA	MF
CALMACT00000022152	GO:0005524	IEA	MF
CALMACT00000022152	GO:0006468	IEA	BP
CALMACT00000022152	GO:0016772	IEA	MF
CALMACT00000013782	GO:0004402	IEA	MF
CALMACT00000013782	GO:0016568	IEA	BP
CALMACT00000031236	GO:0004984	IEA	MF
CALMACT00000031236	GO:0005549	IEA	MF
CALMACT00000031236	GO:0007608	IEA	BP
CALMACT00000031236	GO:0016020	IEA	CC
CALMACT00000034388	GO:0005515	IEA	MF
CALMACT00000034159	GO:0015031	IEA	BP
CALMACT00000034159	GO:0016020	IEA	CC
CALMACT00000007149	GO:0016773	IEA	MF
CALMACT00000007744	GO:0004672	IEA	MF
CALMACT00000007744	GO:0005524	IEA	MF
CALMACT00000007744	GO:0006468	IEA	BP
CALMACT00000007744	GO:0016772	IEA	MF
CALMACT00000017186	GO:0005737	IEA	CC
CALMACT00000017186	GO:0009107	IEA	BP
CALMACT00000017186	GO:0016415	IEA	MF
CALMACT00000017186	GO:0006464	IEA	BP
CALMACT00000026030	GO:0005515	IEA	MF
CALMACT00000011651	GO:0004175	IEA	MF
CALMACT00000011651	GO:0006511	IEA	BP
CALMACT00000011651	GO:0019773	IEA	CC
CALMACT00000011651	GO:0004298	IEA	MF
CALMACT00000011651	GO:0005839	IEA	CC
CALMACT00000011651	GO:0051603	IEA	BP
CALMACT00000022240	GO:0004407	IEA	MF
CALMACT00000022240	GO:0016575	IEA	BP
CALMACT00000034270	GO:0005975	IEA	BP
CALMACT00000034270	GO:0016868	IEA	MF
CALMACT00000031875	GO:0003723	IEA	MF
CALMACT00000014288	GO:0000166	IEA	MF
CALMACT00000014288	GO:0000166	IEA	MF
CALMACT00000014288	GO:0046872	IEA	MF
CALMACT00000011204	GO:0004984	IEA	MF
CALMACT00000011204	GO:0005549	IEA	MF
CALMACT00000011204	GO:0007608	IEA	BP
CALMACT00000011204	GO:0016020	IEA	CC
CALMACT00000000772	GO:0004197	IEA	MF
CALMACT00000000772	GO:0050790	IEA	BP
CALMACT00000000772	GO:0006508	IEA	BP
CALMACT00000000772	GO:0008234	IEA	MF
CALMACT00000034130	GO:0001104	IEA	MF
CALMACT00000034130	GO:0006357	IEA	BP
CALMACT00000034130	GO:0016592	IEA	CC
CALMACT00000016464	GO:0003676	IEA	MF
CALMACT00000022605	GO:0004930	IEA	MF
CALMACT00000022605	GO:0007186	IEA	BP
CALMACT00000022605	GO:0016021	IEA	CC
CALMACT00000016860	GO:0004672	IEA	MF
CALMACT00000016860	GO:0005524	IEA	MF
CALMACT00000016860	GO:0006468	IEA	BP
CALMACT00000016860	GO:0016772	IEA	MF
CALMACT00000034391	GO:0003677	IEA	MF
CALMACT00000034391	GO:0003689	IEA	MF
CALMACT00000034391	GO:0005524	IEA	MF
CALMACT00000034391	GO:0005663	IEA	CC
CALMACT00000034391	GO:0006260	IEA	BP
CALMACT00000034391	GO:0003677	IEA	MF
CALMACT00000034391	GO:0006260	IEA	BP
CALMACT00000034391	GO:0003689	IEA	MF
CALMACT00000034391	GO:0005524	IEA	MF
CALMACT00000034391	GO:0005663	IEA	CC
CALMACT00000034391	GO:0006260	IEA	BP
CALMACT00000034391	GO:0005524	IEA	MF
CALMACT00000030618	GO:0003677	IEA	MF
CALMACT00000030618	GO:0003677	IEA	MF
CALMACT00000030618	GO:0006310	IEA	BP
CALMACT00000030618	GO:0015074	IEA	BP
CALMACT00000030618	GO:0003677	IEA	MF
CALMACT00000030618	GO:0015074	IEA	BP
CALMACT00000025950	GO:0004672	IEA	MF
CALMACT00000025950	GO:0005524	IEA	MF
CALMACT00000025950	GO:0006468	IEA	BP
CALMACT00000025950	GO:0016772	IEA	MF
CALMACT00000003381	GO:0003777	IEA	MF
CALMACT00000003381	GO:0007018	IEA	BP
CALMACT00000003381	GO:0030286	IEA	CC
CALMACT00000017201	GO:0008152	IEA	BP
CALMACT00000017201	GO:0016491	IEA	MF
CALMACT00000011953	GO:0003677	IEA	MF
CALMACT00000011953	GO:0005622	IEA	CC
CALMACT00000027307	GO:0003735	IEA	MF
CALMACT00000027307	GO:0005622	IEA	CC
CALMACT00000027307	GO:0005840	IEA	CC
CALMACT00000027307	GO:0006412	IEA	BP
CALMACT00000005629	GO:0005622	IEA	CC
CALMACT00000005629	GO:0007165	IEA	BP
CALMACT00000005629	GO:0007165	IEA	BP
CALMACT00000029062	GO:0005515	IEA	MF
CALMACT00000021572	GO:0005515	IEA	MF
CALMACT00000029016	GO:0005515	IEA	MF
CALMACT00000029628	GO:0046872	IEA	MF
CALMACT00000021918	GO:0005515	IEA	MF
CALMACT00000034945	GO:0006508	IEA	BP
CALMACT00000034945	GO:0008237	IEA	MF
CALMACT00000034945	GO:0008241	IEA	MF
CALMACT00000034945	GO:0016020	IEA	CC
CALMACT00000009597	GO:0000154	IEA	BP
CALMACT00000009597	GO:0000179	IEA	MF
CALMACT00000009597	GO:0008649	IEA	MF
CALMACT00000020889	GO:0046872	IEA	MF
CALMACT00000030024	GO:0005622	IEA	CC
CALMACT00000030024	GO:0007165	IEA	BP
CALMACT00000030024	GO:0007165	IEA	BP
CALMACT00000027106	GO:0016491	IEA	MF
CALMACT00000027106	GO:0055114	IEA	BP
CALMACT00000021520	GO:0003677	IEA	MF
CALMACT00000021520	GO:0003677	IEA	MF
CALMACT00000021520	GO:0006355	IEA	BP
CALMACT00000009108	GO:0003677	IEA	MF
CALMACT00000009108	GO:0005515	IEA	MF
CALMACT00000009577	GO:0003682	IEA	MF
CALMACT00000009577	GO:0005515	IEA	MF
CALMACT00000029670	GO:0004672	IEA	MF
CALMACT00000029670	GO:0006468	IEA	BP
CALMACT00000029670	GO:0005515	IEA	MF
CALMACT00000029670	GO:0016772	IEA	MF
CALMACT00000029670	GO:0048013	IEA	BP
CALMACT00000003000	GO:0016021	IEA	CC
CALMACT00000003000	GO:0055085	IEA	BP
CALMACT00000007066	GO:0004298	IEA	MF
CALMACT00000007066	GO:0005839	IEA	CC
CALMACT00000007066	GO:0051603	IEA	BP
CALMACT00000025403	GO:0005515	IEA	MF
CALMACT00000025403	GO:0008017	IEA	MF
CALMACT00000017124	GO:0016021	IEA	CC
CALMACT00000017124	GO:0022857	IEA	MF
CALMACT00000017124	GO:0055085	IEA	BP
CALMACT00000004212	GO:0016772	IEA	MF
CALMACT00000001272	GO:0015031	IEA	BP
CALMACT00000024119	GO:0008033	IEA	BP
CALMACT00000009834	GO:0016021	IEA	CC
CALMACT00000009834	GO:0016485	IEA	BP
CALMACT00000007387	GO:0008168	IEA	MF
CALMACT00000012789	GO:0006511	IEA	BP
CALMACT00000012789	GO:0036459	IEA	MF
CALMACT00000012789	GO:0008270	IEA	MF
CALMACT00000015829	GO:0003677	IEA	MF
CALMACT00000015829	GO:0003677	IEA	MF
CALMACT00000015829	GO:0006355	IEA	BP
CALMACT00000015839	GO:0003676	IEA	MF
CALMACT00000015839	GO:0006351	IEA	BP
CALMACT00000015839	GO:0008270	IEA	MF
CALMACT00000015839	GO:0006351	IEA	BP
CALMACT00000000966	GO:0004672	IEA	MF
CALMACT00000000966	GO:0005524	IEA	MF
CALMACT00000000966	GO:0006468	IEA	BP
CALMACT00000000966	GO:0004674	IEA	MF
CALMACT00000000966	GO:0005524	IEA	MF
CALMACT00000000966	GO:0006468	IEA	BP
CALMACT00000000966	GO:0016772	IEA	MF
CALMACT00000025586	GO:0008270	IEA	MF
CALMACT00000024148	GO:0003824	IEA	MF
CALMACT00000024148	GO:0005975	IEA	BP
CALMACT00000024148	GO:0030246	IEA	MF
CALMACT00000024148	GO:0005975	IEA	BP
CALMACT00000024148	GO:0016853	IEA	MF
CALMACT00000016737	GO:0000413	IEA	BP
CALMACT00000016737	GO:0003755	IEA	MF
CALMACT00000016737	GO:0006457	IEA	BP
CALMACT00000016737	GO:0003755	IEA	MF
CALMACT00000016737	GO:0006457	IEA	BP
CALMACT00000025600	GO:0008083	IEA	MF
CALMACT00000025600	GO:0040007	IEA	BP
CALMACT00000024025	GO:0005506	IEA	MF
CALMACT00000024025	GO:0016705	IEA	MF
CALMACT00000024025	GO:0020037	IEA	MF
CALMACT00000024025	GO:0055114	IEA	BP
CALMACT00000016739	GO:0001104	IEA	MF
CALMACT00000016739	GO:0006357	IEA	BP
CALMACT00000016739	GO:0016592	IEA	CC
CALMACT00000021599	GO:0005488	IEA	MF
CALMACT00000021768	GO:0042302	IEA	MF
CALMACT00000020484	GO:0003676	IEA	MF
CALMACT00000023747	GO:0006835	IEA	BP
CALMACT00000023747	GO:0016020	IEA	CC
CALMACT00000023747	GO:0017153	IEA	MF
CALMACT00000026527	GO:0016746	IEA	MF
CALMACT00000009257	GO:0005515	IEA	MF
CALMACT00000027433	GO:0006886	IEA	BP
CALMACT00000027433	GO:0016020	IEA	CC
CALMACT00000027433	GO:0016020	IEA	CC
CALMACT00000027433	GO:0016192	IEA	BP
CALMACT00000012905	GO:0006355	IEA	BP
CALMACT00000000929	GO:0003676	IEA	MF
CALMACT00000000929	GO:0005524	IEA	MF
CALMACT00000009208	GO:0042302	IEA	MF
CALMACT00000020396	GO:0016772	IEA	MF
CALMACT00000013463	GO:0005515	IEA	MF
CALMACT00000010991	GO:0005515	IEA	MF
CALMACT00000024186	GO:0046872	IEA	MF
CALMACT00000030227	GO:0015986	IEA	BP
CALMACT00000030227	GO:0045261	IEA	CC
CALMACT00000030227	GO:0046933	IEA	MF
CALMACT00000030227	GO:0046961	IEA	MF
CALMACT00000013549	GO:0005515	IEA	MF
CALMACT00000000340	GO:0005634	IEA	CC
CALMACT00000000340	GO:0007096	IEA	BP
CALMACT00000026615	GO:0005515	IEA	MF
CALMACT00000034405	GO:0016021	IEA	CC
CALMACT00000034405	GO:0055085	IEA	BP
CALMACT00000008130	GO:0003684	IEA	MF
CALMACT00000008130	GO:0005634	IEA	CC
CALMACT00000008130	GO:0006289	IEA	BP
CALMACT00000014383	GO:0005634	IEA	CC
CALMACT00000014383	GO:0008270	IEA	MF
CALMACT00000014383	GO:0046872	IEA	MF
CALMACT00000031954	GO:0006629	IEA	BP
CALMACT00000019069	GO:0003924	IEA	MF
CALMACT00000019069	GO:0005525	IEA	MF
CALMACT00000019069	GO:0005525	IEA	MF
CALMACT00000007699	GO:0005098	IEA	MF
CALMACT00000007699	GO:0007165	IEA	BP
CALMACT00000027748	GO:0003824	IEA	MF
CALMACT00000015115	GO:0003676	IEA	MF
CALMACT00000015115	GO:0015074	IEA	BP
CALMACT00000034230	GO:0003700	IEA	MF
CALMACT00000034230	GO:0003707	IEA	MF
CALMACT00000034230	GO:0003700	IEA	MF
CALMACT00000034230	GO:0003707	IEA	MF
CALMACT00000034230	GO:0005634	IEA	CC
CALMACT00000034230	GO:0006355	IEA	BP
CALMACT00000034230	GO:0043401	IEA	BP
CALMACT00000034230	GO:0003700	IEA	MF
CALMACT00000034230	GO:0005634	IEA	CC
CALMACT00000034230	GO:0006355	IEA	BP
CALMACT00000034230	GO:0008270	IEA	MF
CALMACT00000034230	GO:0043565	IEA	MF
CALMACT00000011747	GO:0046872	IEA	MF
CALMACT00000025340	GO:0005488	IEA	MF
CALMACT00000024089	GO:0016021	IEA	CC
CALMACT00000024089	GO:0022857	IEA	MF
CALMACT00000024089	GO:0055085	IEA	BP
CALMACT00000012365	GO:0005515	IEA	MF
CALMACT00000010634	GO:0005515	IEA	MF
CALMACT00000025335	GO:0003824	IEA	MF
CALMACT00000025335	GO:0004555	IEA	MF
CALMACT00000025335	GO:0005991	IEA	BP
CALMACT00000002302	GO:0003824	IEA	MF
CALMACT00000002302	GO:0008152	IEA	BP
CALMACT00000003846	GO:0004984	IEA	MF
CALMACT00000003846	GO:0005549	IEA	MF
CALMACT00000003846	GO:0007608	IEA	BP
CALMACT00000003846	GO:0016020	IEA	CC
CALMACT00000014321	GO:0005515	IEA	MF
CALMACT00000027952	GO:0003700	IEA	MF
CALMACT00000027952	GO:0005634	IEA	CC
CALMACT00000027952	GO:0006355	IEA	BP
CALMACT00000027952	GO:0003700	IEA	MF
CALMACT00000027952	GO:0006355	IEA	BP
CALMACT00000023516	GO:0005515	IEA	MF
CALMACT00000001892	GO:0004383	IEA	MF
CALMACT00000001892	GO:0006182	IEA	BP
CALMACT00000001892	GO:0004672	IEA	MF
CALMACT00000001892	GO:0006468	IEA	BP
CALMACT00000001892	GO:0009190	IEA	BP
CALMACT00000001892	GO:0016849	IEA	MF
CALMACT00000001892	GO:0035556	IEA	BP
CALMACT00000001892	GO:0016772	IEA	MF
CALMACT00000031233	GO:0006659	IEA	BP
CALMACT00000027077	GO:0003676	IEA	MF
CALMACT00000016076	GO:0042302	IEA	MF
CALMACT00000009209	GO:0006400	IEA	BP
CALMACT00000009209	GO:0008176	IEA	MF
CALMACT00000024503	GO:0006541	IEA	BP
CALMACT00000024503	GO:0016787	IEA	MF
CALMACT00000009929	GO:0003677	IEA	MF
CALMACT00000009929	GO:0003905	IEA	MF
CALMACT00000009929	GO:0006284	IEA	BP
CALMACT00000009929	GO:0003824	IEA	MF
CALMACT00000022693	GO:0016021	IEA	CC
CALMACT00000022693	GO:0050909	IEA	BP
CALMACT00000019735	GO:0004930	IEA	MF
CALMACT00000019735	GO:0007186	IEA	BP
CALMACT00000019735	GO:0016021	IEA	CC
CALMACT00000004889	GO:0005488	IEA	MF
CALMACT00000004245	GO:0003723	IEA	MF
CALMACT00000004245	GO:0006396	IEA	BP
CALMACT00000004245	GO:0005515	IEA	MF
CALMACT00000018428	GO:0016787	IEA	MF
CALMACT00000018428	GO:0046080	IEA	BP
CALMACT00000019696	GO:0003746	IEA	MF
CALMACT00000019696	GO:0006414	IEA	BP
CALMACT00000019696	GO:0005515	IEA	MF
CALMACT00000024316	GO:0004984	IEA	MF
CALMACT00000024316	GO:0005549	IEA	MF
CALMACT00000024316	GO:0007608	IEA	BP
CALMACT00000024316	GO:0016020	IEA	CC
CALMACT00000025612	GO:0003677	IEA	MF
CALMACT00000014552	GO:0046872	IEA	MF
CALMACT00000014716	GO:0016020	IEA	CC
CALMACT00000014959	GO:0003824	IEA	MF
CALMACT00000014959	GO:0009116	IEA	BP
CALMACT00000009891	GO:0003700	IEA	MF
CALMACT00000009891	GO:0006355	IEA	BP
CALMACT00000009891	GO:0043565	IEA	MF
CALMACT00000009891	GO:0005634	IEA	CC
CALMACT00000009891	GO:0043565	IEA	MF
CALMACT00000010940	GO:0005488	IEA	MF
CALMACT00000023360	GO:0003723	IEA	MF
CALMACT00000023360	GO:0005515	IEA	MF
CALMACT00000023360	GO:0005488	IEA	MF
CALMACT00000024882	GO:0004044	IEA	MF
CALMACT00000024882	GO:0009113	IEA	BP
CALMACT00000024882	GO:0008152	IEA	BP
CALMACT00000024882	GO:0009116	IEA	BP
CALMACT00000002209	GO:0003779	IEA	MF
CALMACT00000002209	GO:0005737	IEA	CC
CALMACT00000002209	GO:0007010	IEA	BP
CALMACT00000006307	GO:0008152	IEA	BP
CALMACT00000006307	GO:0016616	IEA	MF
CALMACT00000006307	GO:0051287	IEA	MF
CALMACT00000006307	GO:0055114	IEA	BP
CALMACT00000006307	GO:0051287	IEA	MF
CALMACT00000006307	GO:0055114	IEA	BP
CALMACT00000002206	GO:0008527	IEA	MF
CALMACT00000002206	GO:0016021	IEA	CC
CALMACT00000002206	GO:0050912	IEA	BP
CALMACT00000030457	GO:0003924	IEA	MF
CALMACT00000030457	GO:0005525	IEA	MF
CALMACT00000030457	GO:0006184	IEA	BP
CALMACT00000030457	GO:0043234	IEA	CC
CALMACT00000030457	GO:0051258	IEA	BP
CALMACT00000020777	GO:0008750	IEA	MF
CALMACT00000020777	GO:0016021	IEA	CC
CALMACT00000020777	GO:0050661	IEA	MF
CALMACT00000020777	GO:0055114	IEA	BP
CALMACT00000014009	GO:0005524	IEA	MF
CALMACT00000015317	GO:0005509	IEA	MF
CALMACT00000009628	GO:0005576	IEA	CC
CALMACT00000025274	GO:0003824	IEA	MF
CALMACT00000025274	GO:0004252	IEA	MF
CALMACT00000025274	GO:0006508	IEA	BP
CALMACT00000016771	GO:0042302	IEA	MF
CALMACT00000002539	GO:0046872	IEA	MF
CALMACT00000005271	GO:0005509	IEA	MF
CALMACT00000005271	GO:0005578	IEA	CC
CALMACT00000005271	GO:0007165	IEA	BP
CALMACT00000005271	GO:0005515	IEA	MF
CALMACT00000001281	GO:0016021	IEA	CC
CALMACT00000001281	GO:0022857	IEA	MF
CALMACT00000001281	GO:0055085	IEA	BP
CALMACT00000005293	GO:0005515	IEA	MF
CALMACT00000005293	GO:0007165	IEA	BP
CALMACT00000009315	GO:0005515	IEA	MF
CALMACT00000026367	GO:0005525	IEA	MF
CALMACT00000008129	GO:0005509	IEA	MF
CALMACT00000034249	GO:0003677	IEA	MF
CALMACT00000033384	GO:0005737	IEA	CC
CALMACT00000033384	GO:0006457	IEA	BP
CALMACT00000005889	GO:0004970	IEA	MF
CALMACT00000005889	GO:0005234	IEA	MF
CALMACT00000005889	GO:0016020	IEA	CC
CALMACT00000015359	GO:0003676	IEA	MF
CALMACT00000015359	GO:0008270	IEA	MF
CALMACT00000015359	GO:0004190	IEA	MF
CALMACT00000015359	GO:0006508	IEA	BP
CALMACT00000033758	GO:0005524	IEA	MF
CALMACT00000012683	GO:0004672	IEA	MF
CALMACT00000012683	GO:0005524	IEA	MF
CALMACT00000012683	GO:0006468	IEA	BP
CALMACT00000012683	GO:0016772	IEA	MF
CALMACT00000003477	GO:0003676	IEA	MF
CALMACT00000002855	GO:0004930	IEA	MF
CALMACT00000002855	GO:0007186	IEA	BP
CALMACT00000002855	GO:0016021	IEA	CC
CALMACT00000019621	GO:0005515	IEA	MF
CALMACT00000020283	GO:0000398	IEA	BP
CALMACT00000020283	GO:0005681	IEA	CC
CALMACT00000033168	GO:0005515	IEA	MF
CALMACT00000033168	GO:0005634	IEA	CC
CALMACT00000033168	GO:0006511	IEA	BP
CALMACT00000033168	GO:0007275	IEA	BP
CALMACT00000011544	GO:0005506	IEA	MF
CALMACT00000011544	GO:0016705	IEA	MF
CALMACT00000011544	GO:0020037	IEA	MF
CALMACT00000011544	GO:0055114	IEA	BP
CALMACT00000025733	GO:0004984	IEA	MF
CALMACT00000025733	GO:0005549	IEA	MF
CALMACT00000025733	GO:0007608	IEA	BP
CALMACT00000025733	GO:0016020	IEA	CC
CALMACT00000028281	GO:0003924	IEA	MF
CALMACT00000028281	GO:0005525	IEA	MF
CALMACT00000028281	GO:0005525	IEA	MF
CALMACT00000025787	GO:0003676	IEA	MF
CALMACT00000025787	GO:0004527	IEA	MF
CALMACT00000002745	GO:0005230	IEA	MF
CALMACT00000002745	GO:0006810	IEA	BP
CALMACT00000002745	GO:0016020	IEA	CC
CALMACT00000032597	GO:0005576	IEA	CC
CALMACT00000032597	GO:0006030	IEA	BP
CALMACT00000032597	GO:0008061	IEA	MF
CALMACT00000031553	GO:0004930	IEA	MF
CALMACT00000031553	GO:0007186	IEA	BP
CALMACT00000031553	GO:0016021	IEA	CC
CALMACT00000034176	GO:0005272	IEA	MF
CALMACT00000034176	GO:0006814	IEA	BP
CALMACT00000034176	GO:0016020	IEA	CC
CALMACT00000000763	GO:0005525	IEA	MF
CALMACT00000000763	GO:0007264	IEA	BP
CALMACT00000028592	GO:0004867	IEA	MF
CALMACT00000014513	GO:0003677	IEA	MF
CALMACT00000014604	GO:0016021	IEA	CC
CALMACT00000013438	GO:0008527	IEA	MF
CALMACT00000013438	GO:0016021	IEA	CC
CALMACT00000013438	GO:0050912	IEA	BP
CALMACT00000003063	GO:0005525	IEA	MF
CALMACT00000010235	GO:0016021	IEA	CC
CALMACT00000029557	GO:0003777	IEA	MF
CALMACT00000029557	GO:0005524	IEA	MF
CALMACT00000029557	GO:0007018	IEA	BP
CALMACT00000029557	GO:0008017	IEA	MF
CALMACT00000025254	GO:0003676	IEA	MF
CALMACT00000025254	GO:0015074	IEA	BP
CALMACT00000002997	GO:0005488	IEA	MF
CALMACT00000002997	GO:0005515	IEA	MF
CALMACT00000002997	GO:0016303	IEA	MF
CALMACT00000002997	GO:0046854	IEA	BP
CALMACT00000002997	GO:0048015	IEA	BP
CALMACT00000002997	GO:0016772	IEA	MF
CALMACT00000002997	GO:0016773	IEA	MF
CALMACT00000025470	GO:0004325	IEA	MF
CALMACT00000025470	GO:0006783	IEA	BP
CALMACT00000019480	GO:0004970	IEA	MF
CALMACT00000019480	GO:0005234	IEA	MF
CALMACT00000019480	GO:0016020	IEA	CC
CALMACT00000019480	GO:0005215	IEA	MF
CALMACT00000019480	GO:0006810	IEA	BP
CALMACT00000006592	GO:0005515	IEA	MF
CALMACT00000006042	GO:0003676	IEA	MF
CALMACT00000006042	GO:0046983	IEA	MF
CALMACT00000024586	GO:0003700	IEA	MF
CALMACT00000024586	GO:0003707	IEA	MF
CALMACT00000030106	GO:0003677	IEA	MF
CALMACT00000030106	GO:0006355	IEA	BP
CALMACT00000009300	GO:0004601	IEA	MF
CALMACT00000009300	GO:0006979	IEA	BP
CALMACT00000009300	GO:0020037	IEA	MF
CALMACT00000009300	GO:0055114	IEA	BP
CALMACT00000008476	GO:0003824	IEA	MF
CALMACT00000008476	GO:0016614	IEA	MF
CALMACT00000008476	GO:0050660	IEA	MF
CALMACT00000008476	GO:0055114	IEA	BP
CALMACT00000008476	GO:0009055	IEA	MF
CALMACT00000008476	GO:0051536	IEA	MF
CALMACT00000008476	GO:0016491	IEA	MF
CALMACT00000008476	GO:0046872	IEA	MF
CALMACT00000008476	GO:0055114	IEA	BP
CALMACT00000008476	GO:0016491	IEA	MF
CALMACT00000008476	GO:0055114	IEA	BP
CALMACT00000014851	GO:0016021	IEA	CC
CALMACT00000017182	GO:0005515	IEA	MF
CALMACT00000017182	GO:0035556	IEA	BP
CALMACT00000015707	GO:0003676	IEA	MF
CALMACT00000015707	GO:0003676	IEA	MF
CALMACT00000015707	GO:0004523	IEA	MF
CALMACT00000021053	GO:0001882	IEA	MF
CALMACT00000021847	GO:0004016	IEA	MF
CALMACT00000021847	GO:0009190	IEA	BP
CALMACT00000021847	GO:0016021	IEA	CC
CALMACT00000021847	GO:0009190	IEA	BP
CALMACT00000021847	GO:0016849	IEA	MF
CALMACT00000021847	GO:0035556	IEA	BP
CALMACT00000033651	GO:0003676	IEA	MF
CALMACT00000033651	GO:0015074	IEA	BP
CALMACT00000016416	GO:0003677	IEA	MF
CALMACT00000007237	GO:0005085	IEA	MF
CALMACT00000007237	GO:0005622	IEA	CC
CALMACT00000007237	GO:0051056	IEA	BP
CALMACT00000007237	GO:0005085	IEA	MF
CALMACT00000007237	GO:0007264	IEA	BP
CALMACT00000007237	GO:0005515	IEA	MF
CALMACT00000007237	GO:0007165	IEA	BP
CALMACT00000008049	GO:0005515	IEA	MF
CALMACT00000008886	GO:0006457	IEA	BP
CALMACT00000008886	GO:0016272	IEA	CC
CALMACT00000008886	GO:0051082	IEA	MF
CALMACT00000006831	GO:0003677	IEA	MF
CALMACT00000006831	GO:0005524	IEA	MF
CALMACT00000006831	GO:0006260	IEA	BP
CALMACT00000019840	GO:0003824	IEA	MF
CALMACT00000019840	GO:0016614	IEA	MF
CALMACT00000019840	GO:0050660	IEA	MF
CALMACT00000019840	GO:0055114	IEA	BP
CALMACT00000019840	GO:0008762	IEA	MF
CALMACT00000019840	GO:0016491	IEA	MF
CALMACT00000019840	GO:0050660	IEA	MF
CALMACT00000019840	GO:0055114	IEA	BP
CALMACT00000009201	GO:0016021	IEA	CC
CALMACT00000009201	GO:0050909	IEA	BP
CALMACT00000003767	GO:0003676	IEA	MF
CALMACT00000034514	GO:0016772	IEA	MF
CALMACT00000017366	GO:0004181	IEA	MF
CALMACT00000017366	GO:0006508	IEA	BP
CALMACT00000017366	GO:0008270	IEA	MF
CALMACT00000027823	GO:0000413	IEA	BP
CALMACT00000027823	GO:0003755	IEA	MF
CALMACT00000027823	GO:0006457	IEA	BP
CALMACT00000011234	GO:0003676	IEA	MF
CALMACT00000031541	GO:0005515	IEA	MF
CALMACT00000008941	GO:0003746	IEA	MF
CALMACT00000008941	GO:0005853	IEA	CC
CALMACT00000008941	GO:0006414	IEA	BP
CALMACT00000025770	GO:0003824	IEA	MF
CALMACT00000025770	GO:0004252	IEA	MF
CALMACT00000025770	GO:0006508	IEA	BP
CALMACT00000002514	GO:0005515	IEA	MF
CALMACT00000002514	GO:0006886	IEA	BP
CALMACT00000025239	GO:0005515	IEA	MF
CALMACT00000012547	GO:0005515	IEA	MF
CALMACT00000017640	GO:0004129	IEA	MF
